tournament_id,tournament_title,tournament_status,tournament_kind,tournament_startAt,map,mode,duration,match_id,match_num,match_status,winner,entrant_a_id,entrant_a_score,entrant_b_id,entrant_b_score,game_number,set_number,score_a,score_b,score_draw,game_winner,P1,P2,P3,P4,P5,P6,Brawler1,Brawler2,Brawler3,Brawler4,Brawler5,Brawler6,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,banned_brawlers_a,banned_brawlers_b,team_a_player_1_tag,team_a_player_1_brawler,team_a_player_1_gadget,team_a_player_1_starpower,team_a_player_1_kills,team_a_player_1_deaths,team_a_player_1_damage,team_a_player_2_tag,team_a_player_2_brawler,team_a_player_2_gadget,team_a_player_2_starpower,team_a_player_2_kills,team_a_player_2_deaths,team_a_player_2_damage,team_a_player_3_tag,team_a_player_3_brawler,team_a_player_3_gadget,team_a_player_3_starpower,team_a_player_3_kills,team_a_player_3_deaths,team_a_player_3_damage,team_b_player_1_tag,team_b_player_1_brawler,team_b_player_1_gadget,team_b_player_1_starpower,team_b_player_1_kills,team_b_player_1_deaths,team_b_player_1_damage,team_b_player_2_tag,team_b_player_2_brawler,team_b_player_2_gadget,team_b_player_2_starpower,team_b_player_2_kills,team_b_player_2_deaths,team_b_player_2_damage,team_b_player_3_tag,team_b_player_3_brawler,team_b_player_3_gadget,team_b_player_3_starpower,team_b_player_3_kills,team_b_player_3_deaths,team_b_player_3_damage
166107,Legends ,completed,single-elim,2025-08-21 18:59:33,Hideout,BOUNTY,132,102054037,1,done,TimaFisch,TimaFisch,3.0,NICE | TEAM,0.0,,1,2,0,0,TimaFisch,Bobi,FSH|Riyad,FischRust_BS,GamerHDBart,wiwi_|_Nice2,Matxin,ROSA,DRACO,KIT,MR. P,GRAY,COLETTE,CHUCK,JACKY,FINX,RICO,GUS,OLLIE,#PJPUGPP8G,#GUVR2GY8,#GJ2U8RCQ,#Q0YCPC9VC,#22QL8JRVP8,#2QQJCLV0UC,"CHUCK, JACKY, FINX","RICO, GUS, OLLIE",#PJPUGPP8G,ROSA,GROW LIGHT,PLANT LIFE,4,1,16088,#GUVR2GY8,DRACO,LAST STAND,SHREDDING,2,1,19326,#GJ2U8RCQ,KIT,CARDBOARD BOX,OVERLY ATTACHED,2,3,41630,#Q0YCPC9VC,MR. P,PORTER REINFORCEMENTS,HANDLE WITH CARE,0,2,32447,#22QL8JRVP8,GRAY,GRAND PIANO,NEW PERSPECTIVE,3,3,32465,#2QQJCLV0UC,COLETTE,NA-AH!,PUSH IT,2,3,85339
166107,Legends ,completed,single-elim,2025-08-21 18:59:33,No Excuses,BOUNTY,132,102054037,1,done,TimaFisch,TimaFisch,3.0,NICE | TEAM,0.0,,2,2,0,0,TimaFisch,Bobi,FischRust_BS,FSH|Riyad,wiwi_|_Nice2,GamerHDBart,Matxin,HANK,KIT,CHUCK,PIPER,COLT,NANI,LUMI,PAM,R-T,GUS,BYRON,MANDY,#PJPUGPP8G,#GJ2U8RCQ,#GUVR2GY8,#22QL8JRVP8,#Q0YCPC9VC,#2QQJCLV0UC,"LUMI, PAM, R-T","GUS, BYRON, MANDY",#PJPUGPP8G,HANK,BARRICADE,IT'S GONNA BLOW,1,1,8038,#GJ2U8RCQ,KIT,CARDBOARD BOX,OVERLY ATTACHED,3,0,23171,#GUVR2GY8,CHUCK,REROUTING,PIT STOP,0,2,9943,#22QL8JRVP8,PIPER,AUTO AIMER,SNAPPY SNIPING,2,2,24533,#Q0YCPC9VC,COLT,SPEEDLOADER,MAGNUM SPECIAL,1,0,54869,#2QQJCLV0UC,NANI,WARPIN' TIME,TEMPERED STEEL,0,2,42985
166107,Legends ,completed,single-elim,2025-08-21 18:59:33,New Horizons,KNOCKOUT,122,102054037,1,done,TimaFisch,TimaFisch,3.0,NICE | TEAM,0.0,,3,2,1,0,TimaFisch,Bobi,FSH|Riyad,FischRust_BS,GamerHDBart,wiwi_|_Nice2,Matxin,SHELLY,CHUCK,DOUG,SPROUT,GUS,RICO,MR. P,BROCK,MEEPLE,SQUEAK,LILY,KIT,#PJPUGPP8G,#GUVR2GY8,#GJ2U8RCQ,#Q0YCPC9VC,#22QL8JRVP8,#2QQJCLV0UC,"MR. P, BROCK, MEEPLE","SQUEAK, LILY, KIT",#PJPUGPP8G,SHELLY,CLAY PIGEONS,SHELL SHOCK,2,2,15369,#GUVR2GY8,CHUCK,GHOST TRAIN,PIT STOP,2,2,16844,#GJ2U8RCQ,DOUG,DOUBLE SAUSAGE,FAST FOOD,0,2,0,#Q0YCPC9VC,SPROUT,TRANSPLANT,OVERGROWTH,0,1,39465,#22QL8JRVP8,GUS,KOOKY POPPER,HEALTH BONANZA,2,1,23629,#2QQJCLV0UC,RICO,MULTIBALL LAUNCHER,SUPER BOUNCY,4,2,37459
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Hard Rock Mine,GEM GRAB,114,101960551,18,done,PSG`TEAM,PSG`TEAM,2.0,FATAL31,1.0,,1,0,2,0,FATAL31,Yakup🖤🥷,Kerem,Enes,Zeynepp,5€,XRL,AMBER,CHARLIE,CORDELIUS,LUMI,LILY,JANET,TARA,GUS,SHADE,BO,KENJI,JAE-YONG,#29U9J8CG9,#9LPCP8PCG,#YG0RP8RJG,#9PLRRJR0P,#P8VU0Q2P,#YLL8LRCGU,"TARA, GUS, SHADE","BO, KENJI, JAE-YONG",#29U9J8CG9,AMBER,DANCING FLAMES,SCORCHIN' SIPHON,1,6,17929,#9LPCP8PCG,CHARLIE,SPIDERS,DIGESTIVE,1,4,22460,#YG0RP8RJG,CORDELIUS,POISON MUSHROOM,MUSHROOM KINGDOM,2,2,16936,#9PLRRJR0P,LUMI,GRIM AND FROSTBITTEN,HALF-TIME,5,1,34952,#P8VU0Q2P,LILY,VANISH,VIGILANCE,6,1,39100,#YLL8LRCGU,JANET,BACKSTAGE PASS,STAGE VIEW,1,2,23742
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Pinball Dreams,BRAWL BALL,168,101960551,18,done,PSG`TEAM,PSG`TEAM,2.0,FATAL31,1.0,,2,2,1,0,PSG`TEAM,Kerem,Yakup🖤🥷,Enes,5€,Zeynepp,XRL,CARL,HANK,LUMI,LOU,AMBER,SANDY,TICK,WILLOW,DRACO,RICO,TARA,SHADE,#9LPCP8PCG,#29U9J8CG9,#YG0RP8RJG,#P8VU0Q2P,#9PLRRJR0P,#YLL8LRCGU,"TICK, WILLOW, DRACO","RICO, TARA, SHADE",#9LPCP8PCG,CARL,HEAT EJECTOR,PROTECTIVE PIROUETTE,4,3,39640,#29U9J8CG9,HANK,BARRICADE,IT'S GONNA BLOW,1,6,39083,#YG0RP8RJG,LUMI,GRIM AND FROSTBITTEN,42% BURNT,7,4,47521,#P8VU0Q2P,LOU,CRYO SYRUP,SUPERCOOL,2,5,32496,#9PLRRJR0P,AMBER,DANCING FLAMES,WILD FLAMES,9,4,71812,#YLL8LRCGU,SANDY,SWEET DREAMS,RUDE SANDS,2,3,42738
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Hideout,BOUNTY,132,101960551,18,done,PSG`TEAM,PSG`TEAM,2.0,FATAL31,1.0,,3,2,0,0,PSG`TEAM,Yakup🖤🥷,Enes,Kerem,5€,Zeynepp,XRL,BONNIE,SQUEAK,MR. P,KIT,MANDY,GENE,TICK,GUS,GRAY,PIPER,LILY,R-T,#29U9J8CG9,#YG0RP8RJG,#9LPCP8PCG,#P8VU0Q2P,#9PLRRJR0P,#YLL8LRCGU,"TICK, GUS, GRAY","PIPER, LILY, R-T",#29U9J8CG9,BONNIE,SUGAR RUSH,WISDOM TOOTH,0,1,11265,#YG0RP8RJG,SQUEAK,WINDUP,SUPER STICKY,3,0,21433,#9LPCP8PCG,MR. P,PORTER REINFORCEMENTS,HANDLE WITH CARE,2,3,39450,#P8VU0Q2P,KIT,CARDBOARD BOX,OVERLY ATTACHED,0,0,0,#9PLRRJR0P,MANDY,COOKIE CRUMBS,IN MY SIGHTS,4,4,38069,#YLL8LRCGU,GENE,LAMP BLOWOUT,MAGIC PUFFS,0,1,549
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Hard Rock Mine,GEM GRAB,120,101960559,26,done,Wee Union,Wee Union,2.0,anonymous,0.0,,1,2,1,0,Wee Union,DomatesBey,Tokyoヤ🤍,Kayra_Damar,Anwar,Néax,Šhádõw ヤ,GRAY,CORDELIUS,JANET,AMBER,GUS,BUSTER,SHADE,CARL,KIT,CHARLIE,RICO,BO,#9GV99ULVG,#PJP8QL0RQ,#VJ8C9GYV,#8GPURUJUC,#9UCPR2UYU,#22GLV88RG,"SHADE, CARL, KIT","CHARLIE, RICO, BO",#9GV99ULVG,GRAY,WALKING CANE,NEW PERSPECTIVE,2,1,22829,#PJP8QL0RQ,CORDELIUS,POISON MUSHROOM,COMBOSHROOMS,3,4,38724,#VJ8C9GYV,JANET,BACKSTAGE PASS,VOCAL WARM UP,2,2,36798,#8GPURUJUC,AMBER,DANCING FLAMES,SCORCHIN' SIPHON,5,1,32765,#9UCPR2UYU,GUS,KOOKY POPPER,SPIRIT ANIMAL,1,2,25677,#22GLV88RG,BUSTER,SLO-MO REPLAY,KEVLAR VEST,1,4,32456
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Sneaky Fields,BRAWL BALL,154,101960559,26,done,Wee Union,Wee Union,2.0,anonymous,0.0,,2,2,0,0,Wee Union,DomatesBey,Kayra_Damar,Tokyoヤ🤍,Anwar,Néax,Šhádõw ヤ,BULL,SQUEAK,AMBER,TARA,FRANK,JACKY,DRACO,KIT,DOUG,RICO,BIBI,CARL,#9GV99ULVG,#VJ8C9GYV,#PJP8QL0RQ,#8GPURUJUC,#9UCPR2UYU,#22GLV88RG,"DRACO, KIT, DOUG","RICO, BIBI, CARL",#9GV99ULVG,BULL,STOMPER,BERSERKER,4,4,41326,#VJ8C9GYV,SQUEAK,RESIDUE,SUPER STICKY,10,2,76143,#PJP8QL0RQ,AMBER,DANCING FLAMES,SCORCHIN' SIPHON,4,1,83217,#8GPURUJUC,TARA,SUPPORT FROM BEYOND,HEALING SHADE,2,6,59985,#9UCPR2UYU,FRANK,ACTIVE NOISE CANCELING,POWER GRAB,2,6,30396,#22GLV88RG,JACKY,PNEUMATIC BOOSTER,COUNTER CRUSH,3,6,35645
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Gem Fort,GEM GRAB,115,101960562,29,done,Wee Union,PSG`TEAM,0.0,Wee Union,3.0,,1,0,2,0,Wee Union,Yakup🖤🥷,Enes,Kerem,DomatesBey,Kayra_Damar,Tokyoヤ🤍,BO,LUMI,LILY,ASH,JANET,DRACO,JAE-YONG,AMBER,CARL,KAZE,AMBER,KIT,#29U9J8CG9,#YG0RP8RJG,#9LPCP8PCG,#9GV99ULVG,#VJ8C9GYV,#PJP8QL0RQ,"JAE-YONG, AMBER, CARL","KAZE, AMBER, KIT",#29U9J8CG9,BO,TRIPWIRE,SNARE A BEAR,1,5,49321,#YG0RP8RJG,LUMI,GRIM AND FROSTBITTEN,HALF-TIME,1,4,15033,#9LPCP8PCG,LILY,VANISH,VIGILANCE,3,4,36695,#9GV99ULVG,ASH,CHILL PILL,FIRST BASH,3,1,25800,#VJ8C9GYV,JANET,BACKSTAGE PASS,VOCAL WARM UP,4,3,42529,#PJP8QL0RQ,DRACO,LAST STAND,SHREDDING,6,1,42019
165942,NT|Tournemants #3,completed,single-elim,2025-08-21 16:59:58,Pinball Dreams,BRAWL BALL,93,101960562,29,done,Wee Union,PSG`TEAM,0.0,Wee Union,3.0,,2,0,2,0,Wee Union,Kerem,Enes,Yakup🖤🥷,DomatesBey,Kayra_Damar,Tokyoヤ🤍,CARL,SANDY,BO,BULL,LARRY & LAWRIE,GUS,R-T,ASH,RICO,SHADE,WILLOW,DOUG,#9LPCP8PCG,#YG0RP8RJG,#29U9J8CG9,#9GV99ULVG,#VJ8C9GYV,#PJP8QL0RQ,"R-T, ASH, RICO","SHADE, WILLOW, DOUG",#9LPCP8PCG,CARL,HEAT EJECTOR,PROTECTIVE PIROUETTE,3,1,45492,#YG0RP8RJG,SANDY,SWEET DREAMS,RUDE SANDS,1,3,20538,#29U9J8CG9,BO,TRIPWIRE,SNARE A BEAR,1,1,13737,#9GV99ULVG,BULL,STOMPER,BERSERKER,2,2,21825,#VJ8C9GYV,LARRY & LAWRIE,ORDER: FALL BACK,PROTOCOL: PROTECT,2,1,27142,#PJP8QL0RQ,GUS,KOOKY POPPER,SPIRIT ANIMAL,1,2,19292
